registryid,siting_metric
['110056254654'],0.005542569808126179
['C4271'],0.005537966651757347
['110040129330'],0.005535727956871699
['110071162776'],0.0055342877158718745
['110070384580'],0.005528872550241321
['110040479103'],0.005526594706422832
['110070813672'],0.005513755270699136
['C3943'],0.005510895423118877
['110070570412'],0.005503439125653116
['110070556209'],0.005499910823834122
['110069497155'],0.0054994088326585575
['110038763923'],0.00548811025431176
['110038721871'],0.005485544762539087
['110040478346'],0.00547877535941912
['C6146'],0.00547028252710114
['C6823'],0.0054699345967904
['110044761629'],0.0054663929410389426
['110038691724'],0.005462429701114509
['110071162639'],0.005457590222980008
['110071162669'],0.005457049845891237
['110071089144'],0.005435731757876479
['110070789777'],0.005434202089623594
['110060748384'],0.005433146587006618
['110054147641'],0.005432506758184216
['110038742830'],0.005430806801665713
['110038762602'],0.005428754454687085
['110039059933'],0.005428754454687085
['110071229095'],0.005425586346476201
['110039219486'],0.005418367356037711
['C4078'],0.005408899995917918
['110070385466'],0.0054072469424137045
['110060953990'],0.005404351995376334
['110069992120'],0.0054020137229636896
['110056392513'],0.005399850241143259
['110054994191'],0.005398401922197113
['110070675632'],0.00539027927220029
['110038754906'],0.005385857995460414
['110045012339'],0.0053855475828998075
['110038753872'],0.0053842500604920065
['110070384837'],0.005383525681265687
['C6055'],0.005381438771589273
['110038691332'],0.005380715855792
['110070225961'],0.0053741396151379996
['110070525752'],0.005371561854220648
['110070258704'],0.005358244968185665
['110015336368'],0.005357822087218185
['110041386620'],0.0053573350333847485
['110003007941'],0.005352242360873236
['110031321399'],0.00534587326632959
['110067220073'],0.005345423668066464
['110038703196'],0.005345119469718413
['110038716075'],0.005343415702315414
['110064039008'],0.005343121663509034
['110054147632'],0.005341446145179759
['110043085327'],0.005337654159185955
['110040477515'],0.005337353092339829
['C10603'],0.005336088416677886
['110056254690'],0.005333747772540811
['110069992165'],0.0053322797649162645
['110038741886'],0.005331365127260589
['110064566526'],0.005330793577972285
['110060995650'],0.005328359867687042
['110038823486'],0.005326341153638373
['110070556135'],0.005322085870965603
['110039552294'],0.005319451844375036
['110040218779'],0.0053087044057127525
['110042231313'],0.00530795315214027
['110054363899'],0.005302163486723337
['110060978820'],0.005296942504063394
['110071089710'],0.0052954054950074365
